Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P26017	P39769	PC	PH-P	CG7618	CG18412	FBGN0003042	FBGN0004861	11581156:0004:LC|10412979:0004:LC|22491092:0004:LC|11172718:0004:LC|18923078:0004:LC|18981224:0004:LC|11493924:0004:LC|26063573:0004:LC|9566890:0004:LC|11583617:0004:LC|21415365:0004:LC|11493925:0004:LC|9372908:0004:LC|25468754:0004:LC|25415640:0004:LC|1353445:0004:LC|27151979:0004:LC|15280237:0004:LC
P26017	Q7JVP4	PC	BR140	CG7618	CG1845|DMEL_CG1845	FBGN0003042	FBGN0033155	21415365:0004:LC|26063573:0004:LC
P26017	Q8ST83	PC	PHO	CG7618	CG17743	FBGN0003042	FBGN0002521	11581156:0004:LC|21415365:0004:LC
P26017	Q94517	PC	HDAC1	CG7618	CG7471	FBGN0003042	FBGN0015805	26802126:0004:LC|11581156:0004:LC|11493709:0004:LC
P26017	Q9VB08	PC	SCE	CG7618	CG5595	FBGN0003042	FBGN0003330	22491092:0004:LC|18981224:0004:LC|26063573:0004:LC|18923078:0004:LC|21415365:0004:LC|25468754:0004:LC|25415640:0004:LC|15147763:0004:LC
P26017	Q9VHA0	PC	SCM	CG7618	CG9495	FBGN0003042	FBGN0003334	10412979:0004:LC|26063573:0004:LC
P26017	Q9VK33	PC	SFMBT	CG7618	CG16975	FBGN0003042	FBGN0032475	21415365:0004:LC|26063573:0004:LC
P26017	Q9W1A9	PC	ENOK	CG7618	CG11290|DMEL_CG11290	FBGN0003042	FBGN0034975	21415365:0004:LC|26063573:0004:LC
P26017	Q9W523	PC	PH-D	CG7618	CG3895|DMEL_CG3895	FBGN0003042	FBGN0004860	10412979:0004:LC|22491092:0004:LC|11172718:0004:LC|9566890:0004:LC|26063573:0004:LC|18923078:0004:LC|21415365:0004:LC|25468754:0004:LC|25415640:0004:LC|1353445:0004:LC|27151979:0004:LC
P26019	P34082	POLA1	FAS2	CG6349	CG3665	FBGN0259113	FBGN0000635	25294943:0096:LC
P26270	Q7KLV9	RPN8	RPN6	CG3416	CG10149	FBGN0002787	FBGN0028689	22187461:0004:LC
P26308	P38040	GBETA13F	GGAMMA1	CG10545	CG8261	FBGN0001105	FBGN0004921	14981094:0004:LC
P26675	Q08012	SOS	DRK	CG7793	CG6033	FBGN0001965	FBGN0004638	9671493:0004:LC|7781603:0047:LC|7781603:0405:LC|7781603:0004:LC|22028469:0004:LC|9178769:0096:LC|8462098:0047:LC|8462098:0004:LC
P27619	Q08012	SHI	DRK	CG18102	CG6033	FBGN0003392	FBGN0004638	10918586:0096:LC|10918586:0004:LC|22028469:0004:LC
P27619	Q9W111	SHI	EPS-15	CG18102	CG16932|DMEL_CG16932	FBGN0003392	FBGN0035060	17620409:0004:LC|16709407:0004:LC
P27716	P34082	OGRE	FAS2	CG3039	CG3665	FBGN0004646	FBGN0000635	25294943:0007:LC
P28159	Q02308	SU(H)	H	CG3497	CG5460	FBGN0004837	FBGN0001169	20231316:0004:LC|27404588:0096:LC|27404588:0065:LC|25242320:0004:LC|30694174:0004:LC|20231316:0096:LC|27404588:0018:LC|21737682:0096:LC|21737682:0018:LC|7958912:0004:LC|27404588:0114:LC|25650119:0096:LC|24282610:0004:LC
P28159	Q8SYK5	SU(H)	INSV	CG3497	CG3227	FBGN0004837	FBGN0031434	21765394:0096:LC|23571214:0004:LC|21765394:0006:LC|21765394:0007:LC|21765394:0004:LC|23571214:0096:LC
P28159	Q9V464	SU(H)	ASF1	CG3497	CG9383	FBGN0004837	FBGN0029094	17925233:0004:LC|19782028:0004:LC
P28159	Q9VMJ7	SU(H)	LID	CG3497	CG9088	FBGN0004837	FBGN0031759	20231316:0004:LC|19782028:0004:LC|20231316:0096:LC
P28465	Q9VUG1	WNT2	DLP	CG1916	CG32146|DMEL_CG32146	FBGN0004360	FBGN0041604	32473955:0004:LC|32426496:0004:LC
P28466	Q27324	WNT5	DRL	CG6407	CG17348	FBGN0010194	FBGN0015380	25981040:0004:LC|12660735:0004:LC|12660735:0096:LC
P28518	P34082	XPAC	FAS2	CG6358	CG3665	FBGN0004832	FBGN0000635	25294943:0096:LC
P28668	P48462	GLUPRORS	FLW	CG5394	CG2096	FBGN0005674	FBGN0000711	25294943:0007:LC|25294943:0096:LC
P28750	Q24322	EXU	SEMA1A	CG8994	CG18405	FBGN0000615	FBGN0011259	25294943:0007:LC|25294943:0096:LC
P29310	P29310	14-3-3ZETA	14-3-3ZETA	CG17870	CG17870	FBGN0004907	FBGN0004907	24147113:0096:LC|19920133:0096:LC|19920133:0004:LC
P29310	P92177	14-3-3ZETA	14-3-3EPSILON	CG17870	CG31196	FBGN0004907	FBGN0020238	19920133:0096:LC|23987511:0004:LC|19920133:0004:LC
P29310	Q45VV3	14-3-3ZETA	YKI	CG17870	CG4005	FBGN0004907	FBGN0034970	26887950:0004:LC|25320084:0004:LC|17889654:0004:LC|19900439:0004:LC|17889654:0007:LC|24114784:0004:LC
P29310	Q8IPH9	14-3-3ZETA	SLOB	CG17870	CG43756	FBGN0004907	FBGN0264087	10230800:0006:LC|10230800:0019:LC|10230800:0018:LC|10230800:0096:LC|16339006:0004:LC|10230800:0004:LC
P29310	Q95V55	14-3-3ZETA	FOXO	CG17870	CG3143	FBGN0004907	FBGN0038197	27626673:0004:LC|22068330:0007:LC|22068330:0004:LC
P29310	Q9VCC9	14-3-3ZETA	TSC1	CG17870	CG6147|DMEL_CG6147	FBGN0004907	FBGN0026317	27626673:0004:LC|22068330:0007:LC|22068330:0004:LC
P29310	Q9VHP9	14-3-3ZETA	CENP-C	CG17870	CG31258|DMEL_CG31258	FBGN0004907	FBGN0266916	21353555:0004:LC|25562660:0004:LC
P29310	Q9VW83	14-3-3ZETA	GIG	CG17870	CG6975|DMEL_CG6975	FBGN0004907	FBGN0005198	27626673:0004:LC|22068330:0007:LC|22068330:0004:LC
P29310	Q9XTN2	14-3-3ZETA	CHICO	CG17870	CG5686	FBGN0004907	FBGN0024248	26839216:0004:LC|17956857:0004:LC|27626673:0004:LC|22068330:0007:LC|22068330:0004:LC
P29349	Q9VZZ9	CSW	DOS	CG3954	CG1044	FBGN0000382	FBGN0016794	22028469:0004:LC|9582352:0004:LC
P29503	Q9V3S6	NEUR	TOM	CG11988	CG5185|DMEL_CG5185	FBGN0002932	FBGN0026320	16459303:0004:LC|19683535:0096:LC|16459303:0018:LC
P29742	Q9W1K4	CHC	EGL	CG9012	CG4051|DMEL_CG4051	FBGN0000319	FBGN0000562	24718986:0004:LC|27801632:0004:LC
P29746	P34082	BNB	FAS2	CG7088	CG3665	FBGN0001090	FBGN0000635	25294943:0096:LC
P29829	Q9NFZ3	GBETA76C	GGAMMA30A	CG8770	CG3694	FBGN0004623	FBGN0267252	10608815:0096:LC|15205461:0007:LC
P29843	Q8IRY7	HSC70-1	DREDD	CG8937	CG7486	FBGN0001216	FBGN0020381	22450469:0004:LC
P29993	P48462	ITPR	FLW	CG1063	CG2096	FBGN0010051	FBGN0000711	25294943:0096:LC
P30052	P30052	SD	SD	CG8544	CG8544	FBGN0003345	FBGN0003345	15126402:0004:LC
P30052	P40791	SD	MEF2	CG8544	CG1429	FBGN0003345	FBGN0011656	19500564:0004:LC|18987343:0004:LC
P30052	Q26366	SD	VG	CG8544	CG3830	FBGN0003345	FBGN0003975	23271049:0004:LC|9869635:0047:LC|9869635:0096:LC|15126402:0004:LC|11546746:0004:LC|9869635:0004:LC|18987343:0004:LC|26403189:0004:LC|9869635:0018:LC
P30052	Q45VV3	SD	YKI	CG8544	CG4005	FBGN0003345	FBGN0034970	23395637:0004:LC|18258486:0004:LC|18258485:0004:LC|26403189:0004:LC|30901309:0004:LC|18258486:0018:LC|18313299:0004:LC|23999857:0004:LC|24509725:0004:LC|23999857:0055:LC|23271049:0004:LC|23999857:0018:LC|29695716:0004:LC|29207260:0004:LC|24114784:0004:LC
P30052	Q9V3B8	SD	NERFIN-1	CG8544	CG13906|DMEL_CG13906	FBGN0003345	FBGN0028999	30404010:0004:LC|25242320:0004:LC|30901309:0004:LC
P30052	Q9VU85	SD	TGI	CG8544	CG10741|DMEL_CG10741	FBGN0003345	FBGN0036373	32122936:0004:LC|23725764:0004:LC|23999857:0018:LC|23999857:0004:LC|26403189:0004:LC|24114784:0004:LC
P31007	P31007	DLG1	DLG1	CG1725	CG1725	FBGN0001624	FBGN0001624	16377571:0004:LC|19769408:0018:LC|16982606:0004:LC|19769408:0004:LC|19261607:0004:LC
P31007	P51140	DLG1	DSH	CG1725	CG18361	FBGN0001624	FBGN0000499	25461409:0004:LC|27536874:0004:LC
P31007	Q7KRY7	DLG1	SCRIB	CG1725	CG5462	FBGN0001624	FBGN0263289	28710284:0004:LC|11937021:0006:LC|11937021:0004:LC
P31007	Q8IMT8	DLG1	VELI	CG1725	CG7662|DMEL_CG7662	FBGN0001624	FBGN0039269	15039455:0018:LC|23850283:0004:LC|15039455:0004:LC
P31007	Q9VB22	DLG1	PINS	CG1725	CG5692|DMEL_CG5692	FBGN0001624	FBGN0040080	16377571:0004:LC|22253744:0004:LC|11509184:0004:LC|11509184:0018:LC
P31007	Q9VE13	DLG1	GUKH	CG1725	CG31043|DMEL_CG31043	FBGN0001624	FBGN0026239	16982606:0018:LC|16982606:0004:LC|11937021:0006:LC|11937021:0004:LC|11937021:0018:LC|16982606:0096:LC|19261607:0018:LC|16982606:0007:LC|19261607:0004:LC|29185419:0004:LC
P31409	Q9V3J1	VHA55	VHASFD	CG17369	CG17332	FBGN0005671	FBGN0027779	25294943:0096:LC
P32866	P91682	GPRK2	SMO	CG17998	CG11561	FBGN0261988	FBGN0003444	20844016:0055:LC|26863604:0004:LC|26863604:0007:LC|20844016:0004:LC
P32870	Q24322	RUT	SEMA1A	CG9533	CG18405	FBGN0003301	FBGN0011259	25294943:0007:LC|25294943:0096:LC
P33450	Q24292	FT	DS	CG3352	CG17941	FBGN0001075	FBGN0284247	20434335:0004:LC|20434337:0004:LC
P33450	Q24322	FT	SEMA1A	CG3352	CG18405	FBGN0001075	FBGN0011259	25294943:0007:LC|25294943:0096:LC
P34021	Q24314	ECR	DOR	CG1765	CG3093	FBGN0000546	FBGN0000482	20888228:0004:LC|26222308:0004:LC
P34021	Q86BY9	ECR	RIG	CG1765	CG30149	FBGN0000546	FBGN0250850	14645129:0004:LC|26222308:0004:LC|14645129:0096:LC
P34021	Q8IRW8	ECR	TRR	CG1765	CG3848	FBGN0000546	FBGN0023518	14603321:0004:LC|28366641:0004:LC|14603321:0096:LC
P34021	Q94899	ECR	ALIEN	CG1765	CG9556	FBGN0000546	FBGN0013746	25393278:0004:LC|10207062:0004:LC|10207062:0096:LC
P34021	Q9VYW2	ECR	MET	CG1765	CG1705|DMEL_CG1705	FBGN0000546	FBGN0002723	17956872:0004:LC|18980211:0018:LC|18980211:0004:LC|17956872:0018:LC
P34082	P35500	FAS2	PARA	CG3665	CG9907	FBGN0000635	FBGN0285944	25294943:0096:LC
P34082	P35820	FAS2	PSC	CG3665	CG3886	FBGN0000635	FBGN0005624	25294943:0096:LC
P34082	P40794	FAS2	BNK	CG3665	CG1480	FBGN0000635	FBGN0004389	25294943:0096:LC
P34082	P45843	FAS2	ST	CG3665	CG4314	FBGN0000635	FBGN0003515	25294943:0007:LC|25294943:0096:LC
P34082	P46863	FAS2	KLP61F	CG3665	CG9191	FBGN0000635	FBGN0004378	25294943:0007:LC|25294943:0096:LC
P34082	P48605	FAS2	CCT3	CG3665	CG8977	FBGN0000635	FBGN0015019	25294943:0007:LC|25294943:0096:LC
P34082	P52172	FAS2	SRP	CG3665	CG3992	FBGN0000635	FBGN0003507	25294943:0096:LC
P34082	P54358	FAS2	DNAPOL-DELTA	CG3665	CG5949	FBGN0000635	FBGN0263600	25294943:0096:LC
P34082	P54397	FAS2	FK506-BP1	CG3665	CG6226	FBGN0000635	FBGN0013269	25294943:0007:LC
P34082	P54623	FAS2	CNN	CG3665	CG4832	FBGN0000635	FBGN0013765	25294943:0096:LC
P34082	P83099	FAS2	PKCDELTA	CG3665	CG10524	FBGN0000635	FBGN0259680	25294943:0096:LC
P34082	P91621	FAS2	SIF	CG3665	CG34418	FBGN0000635	FBGN0085447	25294943:0096:LC
P34082	P91659	FAS2	DMEL\CG2187	CG3665	CG2187|DMEL_CG2187	FBGN0000635	FBGN0017448	25294943:0096:LC
P34082	P98081	FAS2	DAB	CG3665	CG9695	FBGN0000635	FBGN0000414	25294943:0007:LC|25294943:0096:LC
P34082	P98163	FAS2	YL	CG3665	CG1372	FBGN0000635	FBGN0004649	25294943:0096:LC
P34082	Q0E8T7	FAS2	CG31652	CG3665	CG34124|DMEL_CG34124	FBGN0000635	FBGN0083960	25294943:0096:LC
P34082	Q0E8X8	FAS2	BCDNA:RE33866	CG3665	CG13551|DMEL_CG13551	FBGN0000635	FBGN0040660	25294943:0096:LC
P34082	Q0KHU0	FAS2	MYO10A	CG3665	CG43657|DMEL_CG43657	FBGN0000635	FBGN0263705	25294943:0096:LC
P34082	Q0KHV6	FAS2	PINK1	CG3665	CG4523	FBGN0000635	FBGN0029891	25294943:0096:LC
P34082	Q23976	FAS2	IRBP	CG3665	CG5247	FBGN0000635	FBGN0011774	25294943:0096:LC
P34082	Q24020	FAS2	FLII	CG3665	CG1484	FBGN0000635	FBGN0000709	25294943:0007:LC
P34082	Q24253	FAS2	AP-1-2BETA	CG3665	CG12532|DMEL_CG12532	FBGN0000635	FBGN0010380	25294943:0007:LC|25294943:0096:LC
P34082	Q24498	FAS2	RYR	CG3665	CG10844	FBGN0000635	FBGN0011286	25294943:0007:LC|25294943:0096:LC
P34082	Q27607	FAS2	TAM	CG3665	CG8987	FBGN0000635	FBGN0004406	25294943:0096:LC
P34082	Q5BI50	FAS2	CUL4	CG3665	CG8711|DMEL_CG8711	FBGN0000635	FBGN0033260	25294943:0096:LC
P34082	Q6J5K9	FAS2	ARMI	CG3665	CG11513	FBGN0000635	FBGN0041164	25294943:0096:LC
P34082	Q7K0X3	FAS2	CTR9	CG3665	CG2469|DMEL_CG2469	FBGN0000635	FBGN0035205	25294943:0096:LC
P34082	Q7K2B0	FAS2	Q7K2B0	CG3665	CG7137	FBGN0000635	FBGN0034422	25294943:0007:LC|25294943:0096:LC
P34082	Q7K2I4	FAS2	DMEL\CG7768	CG3665	CG7768|DMEL_CG7768	FBGN0000635	FBGN0036415	25294943:0096:LC
P34082	Q7KMH9	FAS2	WDE	CG3665	CG12340|DMEL_CG12340	FBGN0000635	FBGN0027499	25294943:0096:LC
P34082	Q7KRW8	FAS2	Q7KRW8	CG3665	CG1646	FBGN0000635	FBGN0039600	25294943:0096:LC
P34082	Q7KT77	FAS2	DMEL\CG33310	CG3665	CG33310|DMEL_CG33310	FBGN0000635	FBGN0053310	25294943:0007:LC|25294943:0096:LC
P34082	Q7KTW5	FAS2	DMEL\CG9391	CG3665	CG9391|DMEL_CG9391	FBGN0000635	FBGN0037063	25294943:0096:LC
P34082	Q7KTW9	FAS2	ASNS	CG3665	CG33486|DMEL_CG33486	FBGN0000635	FBGN0270926	25294943:0096:LC
P34082	Q7YZA2	FAS2	Q7YZA2	CG3665	CG7065	FBGN0000635	FBGN0030091	25294943:0007:LC|25294943:0096:LC
P34082	Q86BA1	FAS2	MICAL	CG3665	CG33208	FBGN0000635	FBGN0053208	25294943:0096:LC
P34082	Q86BI3	FAS2	ZN72D	CG3665	CG5215|DMEL_CG5215	FBGN0000635	FBGN0263603	25294943:0007:LC
P34082	Q8I8U7	FAS2	NIPPED-A	CG3665	CG2905	FBGN0000635	FBGN0053554	25294943:0096:LC
P34082	Q8IMJ2	FAS2	CG2164	CG3665	CG31029|DMEL_CG31029	FBGN0000635	FBGN0051029	25294943:0096:LC
P34082	Q8IMP6	FAS2	Q8IMP6	CG3665	CG5815	FBGN0000635	FBGN0027574	25294943:0007:LC|25294943:0096:LC
P34082	Q8IN16	FAS2	DMEL\CG31465	CG3665	CG31465|DMEL_CG31465	FBGN0000635	FBGN0051465	25294943:0096:LC
P34082	Q8INH6	FAS2	CG8775	CG3665	CG32473|DMEL_CG32473	FBGN0000635	FBGN0052473	25294943:0096:LC
P34082	Q8IPH8	FAS2	MYO28B1	CG3665	CG6976|DMEL_CG6976	FBGN0000635	FBGN0040299	25294943:0096:LC
P34082	Q8IRK0	FAS2	PIO	CG3665	CG3541|DMEL_CG3541	FBGN0000635	FBGN0020521	25294943:0007:LC
P34082	Q8SXR4	FAS2	DMEL\CG30339	CG3665	CG30339|DMEL_CG30339	FBGN0000635	FBGN0050339	25294943:0096:LC
P34082	Q8SZ63	FAS2	GOLGIN84	CG3665	CG17785	FBGN0000635	FBGN0039188	25294943:0096:LC
P34082	Q8T4G5	FAS2	AFG3L2	CG3665	CG6512|DMEL_CG6512	FBGN0000635	FBGN0036702	25294943:0007:LC|25294943:0096:LC
P34082	Q94518	FAS2	NACALPHA	CG3665	CG8759	FBGN0000635	FBGN0086904	25294943:0096:LC
P34082	Q95R60	FAS2	Q95R60	CG3665	CG8060	FBGN0000635	FBGN0034113	25294943:0096:LC
P34082	Q9BI20	FAS2	DIS3	CG3665	CG6413	FBGN0000635	FBGN0039183	25294943:0096:LC
P34082	Q9GYV5	FAS2	KEY	CG3665	CG16910	FBGN0000635	FBGN0041205	25294943:0096:LC
P34082	Q9U1L7	FAS2	EG:BACR42I17.7	CG3665	CG11380	FBGN0000635	FBGN0040359	25294943:0096:LC
P34082	Q9U969	FAS2	SWS	CG3665	CG2212	FBGN0000635	FBGN0003656	25294943:0096:LC
P34082	Q9V3G7	FAS2	RPN7	CG3665	CG5378	FBGN0000635	FBGN0028688	25294943:0096:LC
P34082	Q9V3P0	FAS2	JAFRAC1	CG3665	CG1633	FBGN0000635	FBGN0040309	25294943:0007:LC|25294943:0096:LC
P34082	Q9V426	FAS2	VIG	CG3665	CG4170|DMEL_CG4170	FBGN0000635	FBGN0024183	25294943:0096:LC
P34082	Q9V719	FAS2	SIN1	CG3665	CG10105	FBGN0000635	FBGN0033935	25294943:0007:LC|25294943:0096:LC
P34082	Q9V8R9	FAS2	CORA	CG3665	CG11949	FBGN0000635	FBGN0010434	25294943:0007:LC|25294943:0096:LC
P34082	Q9V9P7	FAS2	GI19527787	CG3665	CG1428|DMEL_CG1428	FBGN0000635	FBGN0032967	25294943:0096:LC
P34082	Q9VAV5	FAS2	DHC98D	CG3665	CG1842|DMEL_CG1842	FBGN0000635	FBGN0013813	25294943:0007:LC|25294943:0096:LC
P34082	Q9VAW1	FAS2	MOCA-CYP	CG3665	CG1866|DMEL_CG1866	FBGN0000635	FBGN0039581	25294943:0007:LC|25294943:0096:LC
P34082	Q9VAX9	FAS2	DMEL\CG4884	CG3665	CG4884|DMEL_CG4884	FBGN0000635	FBGN0039565	25294943:0096:LC
P34082	Q9VB11	FAS2	UNC80	CG3665	CG18437	FBGN0000635	FBGN0039536	25294943:0007:LC
P34082	Q9VB40	FAS2	CG13980	CG3665	CG42534|DMEL_CG42534	FBGN0000635	FBGN0260487	25294943:0096:LC
P34082	Q9VBX3	FAS2	VIG2	CG3665	CG11844|DMEL_CG11844	FBGN0000635	FBGN0046214	25294943:0096:LC
P34082	Q9VC19	FAS2	DMEL\CG3744	CG3665	CG3744|DMEL_CG3744	FBGN0000635	FBGN0039240	25294943:0096:LC
P34082	Q9VC54	FAS2	DMEL\CG6695	CG3665	CG6695|DMEL_CG6695	FBGN0000635	FBGN0039215	25294943:0096:LC
P34082	Q9VC96	FAS2	BRWD3	CG3665	CG31132|DMEL_CG31132	FBGN0000635	FBGN0011785	25294943:0096:LC
P34082	Q9VCR2	FAS2	DMEL\CG6726	CG3665	CG6726|DMEL_CG6726	FBGN0000635	FBGN0039049	25294943:0096:LC
P34082	Q9VD07	FAS2	DMEL\CG12499	CG3665	CG12499|DMEL_CG12499	FBGN0000635	FBGN0038968	25294943:0007:LC|25294943:0096:LC
P34082	Q9VDU2	FAS2	DMEL\CG11391	CG3665	CG11391|DMEL_CG11391	FBGN0000635	FBGN0038732	25294943:0096:LC
P34082	Q9VDW6	FAS2	DYS	CG3665	CG34157	FBGN0000635	FBGN0260003	25294943:0096:LC
P34082	Q9VEB1	FAS2	MDH2	CG3665	CG7998|DMEL_CG7998	FBGN0000635	FBGN0262559	25294943:0096:LC
P34082	Q9VF08	FAS2	BLP	CG3665	CG5268	FBGN0000635	FBGN0038387	25294943:0096:LC
P34082	Q9VF13	FAS2	CG34275	CG3665	CG45105|DMEL_CG45105	FBGN0000635	FBGN0266566	25294943:0096:LC
P34082	Q9VFA0	FAS2	DMEL\CG4338	CG3665	CG4338|DMEL_CG4338	FBGN0000635	FBGN0038313	25294943:0096:LC
P34082	Q9VFD3	FAS2	DMEL\CG42788	CG3665	CG42788|DMEL_CG42788	FBGN0000635	FBGN0261859	25294943:0096:LC
P34082	Q9VFE3	FAS2	VHAPPA1-1	CG3665	CG7007|DMEL_CG7007	FBGN0000635	FBGN0028662	25294943:0007:LC
P34082	Q9VFE7	FAS2	NUP93-2	CG3665	CG7262|DMEL_CG7262	FBGN0000635	FBGN0038274	25294943:0007:LC
P34082	Q9VFF3	FAS2	RRP6	CG3665	CG7292|DMEL_CG7292	FBGN0000635	FBGN0038269	25294943:0007:LC|25294943:0096:LC
P34082	Q9VFH5	FAS2	CAD88C	CG3665	CG3389|DMEL_CG3389	FBGN0000635	FBGN0038247	25294943:0096:LC
P34082	Q9VFT7	FAS2	ANON-WO0140519.42	CG3665	CG10841|DMEL_CG10841	FBGN0000635	FBGN0038163	25294943:0007:LC
P34082	Q9VG05	FAS2	DMEL\CG7518	CG3665	CG7518|DMEL_CG7518	FBGN0000635	FBGN0038108	25294943:0007:LC
P34082	Q9VG43	FAS2	DMEL\CG14395	CG3665	CG14395|DMEL_CG14395	FBGN0000635	FBGN0038073	25294943:0007:LC
P34082	Q9VGB6	FAS2	PGLYM87	CG3665	CG17645|DMEL_CG17645	FBGN0000635	FBGN0011270	25294943:0096:LC
P34082	Q9VGP1	FAS2	Q9VGP1	CG3665	CG5270	FBGN0000635	FBGN0037897	25294943:0096:LC
P34082	Q9VGZ3	FAS2	IRP-1B	CG3665	CG6342|DMEL_CG6342	FBGN0000635	FBGN0024957	25294943:0096:LC
P34082	Q9VHP9	FAS2	CENP-C	CG3665	CG31258|DMEL_CG31258	FBGN0000635	FBGN0266916	25294943:0096:LC
P34082	Q9VIC7	FAS2	NLG1	CG3665	CG31146|DMEL_CG31146	FBGN0000635	FBGN0051146	25294943:0096:LC
P34082	Q9VIK2	FAS2	CART	CG3665	CG9317	FBGN0000635	FBGN0032879	25294943:0096:LC
P34082	Q9VIZ3	FAS2	L(2)37CB	CG3665	CG10689|DMEL_CG10689	FBGN0000635	FBGN0086444	25294943:0096:LC
P34082	Q9VK42	FAS2	EP2317	CG3665	CG9932|DMEL_CG9932	FBGN0000635	FBGN0262160	25294943:0007:LC
P34082	Q9VK58	FAS2	PIH1D1	CG3665	CG5792|DMEL_CG5792	FBGN0000635	FBGN0032455	25294943:0096:LC
P34082	Q9VKM6	FAS2	YL-1	CG3665	CG4621	FBGN0000635	FBGN0032321	25294943:0096:LC
P34082	Q9VKP5	FAS2	DMEL\CG6700	CG3665	CG6700|DMEL_CG6700	FBGN0000635	FBGN0032305	25294943:0096:LC
P34082	Q9VKV1	FAS2	LMANII	CG3665	CG6206|DMEL_CG6206	FBGN0000635	FBGN0027611	25294943:0096:LC
P34082	Q9VLL3	FAS2	AKAP200	CG3665	CG13388	FBGN0000635	FBGN0027932	25294943:0096:LC
P34082	Q9VLS7	FAS2	PAPLA1	CG3665	CG8552|DMEL_CG8552	FBGN0000635	FBGN0031990	25294943:0096:LC
P34082	Q9VM62	FAS2	SA	CG3665	CG3423|DMEL_CG3423	FBGN0000635	FBGN0020616	25294943:0096:LC
P34082	Q9VMV5	FAS2	VKG	CG3665	CG16858|DMEL_CG16858	FBGN0000635	FBGN0016075	25294943:0096:LC
P34082	Q9VN93	FAS2	Q9VN93	CG3665	CG12163	FBGN0000635	FBGN0260462	25294943:0096:LC
P34082	Q9VNE0	FAS2	DMEL\CG2926	CG3665	CG2926|DMEL_CG2926	FBGN0000635	FBGN0037344	25294943:0096:LC
P34082	Q9VPC0	FAS2	PITSLRE	CG3665	CG4268	FBGN0000635	FBGN0016696	25294943:0007:LC|25294943:0096:LC
P34082	Q9VPH0	FAS2	IN	CG3665	CG16993	FBGN0000635	FBGN0001259	25294943:0007:LC
P34082	Q9VPI9	FAS2	ZIR	CG3665	CG11376|DMEL_CG11376	FBGN0000635	FBGN0031216	25294943:0096:LC
P34082	Q9VPM0	FAS2	RPP30	CG3665	CG11606|DMEL_CG11606	FBGN0000635	FBGN0283652	25294943:0096:LC
P34082	Q9VPN5	FAS2	STIP1	CG3665	CG2720|DMEL_CG2720	FBGN0000635	FBGN0024352	25294943:0096:LC
P34082	Q9VPW5	FAS2	DMEL\CG14339	CG3665	CG14339|DMEL_CG14339	FBGN0000635	FBGN0031301	25294943:0096:LC
P34082	Q9VQ78	FAS2	TBCD	CG3665	CG7261|DMEL_CG7261	FBGN0000635	FBGN0027509	25294943:0096:LC
P34082	Q9VR91	FAS2	HERC2	CG3665	CG11734	FBGN0000635	FBGN0031107	25294943:0007:LC|25294943:0096:LC
P34082	Q9VS84	FAS2	LTL	CG3665	CG32372|DMEL_CG32372	FBGN0000635	FBGN0268063	25294943:0096:LC
P34082	Q9VSE6	FAS2	RECQ4	CG3665	CG7487|DMEL_CG7487	FBGN0000635	FBGN0040290	25294943:0007:LC|25294943:0096:LC
P34082	Q9VSM6	FAS2	S-LAP1	CG3665	CG6372|DMEL_CG6372	FBGN0000635	FBGN0035915	25294943:0096:LC
P34082	Q9VT95	FAS2	IR67B	CG3665	CG12303|DMEL_CG12303	FBGN0000635	FBGN0036083	25294943:0096:LC
P34082	Q9VTQ3	FAS2	CCDC151	CG3665	CG14127|DMEL_CG14127	FBGN0000635	FBGN0036219	25294943:0096:LC
P34082	Q9VU29	FAS2	DMEL\CG10749	CG3665	CG10749|DMEL_CG10749	FBGN0000635	FBGN0036328	25294943:0096:LC
P34082	Q9VUE8	FAS2	BBG	CG3665	CG42230|DMEL_CG42230	FBGN0000635	FBGN0087007	25294943:0007:LC|25294943:0096:LC
P34082	Q9VV61	FAS2	CG10162	CG3665	CG33158|DMEL_CG33158	FBGN0000635	FBGN0053158	25294943:0096:LC
P34082	Q9VWC0	FAS2	HERS	CG3665	CG32529|DMEL_CG32529	FBGN0000635	FBGN0052529	25294943:0096:LC
P34082	Q9VWG3	FAS2	RPS10B	CG3665	CG14206	FBGN0000635	FBGN0285947	25294943:0007:LC|25294943:0096:LC
P34082	Q9VWN4	FAS2	FLACC	CG3665	CG7358	FBGN0000635	FBGN0030974	25294943:0096:LC
P34082	Q9VWZ3	FAS2	DHC16F	CG3665	CG7092|DMEL_CG7092	FBGN0000635	FBGN0283476	25294943:0096:LC
P34082	Q9VXV3	FAS2	SHTD	CG3665	CG9198|DMEL_CG9198	FBGN0000635	FBGN0004391	25294943:0096:LC
P34082	Q9VY87	FAS2	CTSB	CG3665	CG10992|DMEL_CG10992	FBGN0000635	FBGN0030521	25294943:0007:LC
P34082	Q9VYW5	FAS2	DMEL\CG2247	CG3665	CG2247|DMEL_CG2247	FBGN0000635	FBGN0030320	25294943:0096:LC
P34082	Q9W040	FAS2	OSEG2	CG3665	CG13809	FBGN0000635	FBGN0035317	25294943:0096:LC
P34082	Q9W083	FAS2	DMEL\CG12020	CG3665	CG12020|DMEL_CG12020	FBGN0000635	FBGN0035273	25294943:0007:LC
